Golden State Warriors,GSW
Portland Trail Blazers,POR
Brooklyn Nets,BRO
Boston Celtics,BOS
Dallas Mavericks,DAL
Indiana Pacers,IND
Houston Rockets,HOU
Los Angeles Lakers,LAL
Minnesota Timberwolves,MIN
Memphis Grizzlies,MEM
Charlotte Hornets,CHA
Milwaukee Bucks,MIL
Denver Nuggets,DEN
New Orleans Pelicans,NOP
Miami Heat,MIA
Orlando Magic,ORL
Oklahoma City Thunder,OKL
Philadelphia 76ers,PHI
Sacramento Kings,SAC
Phoenix Suns,PHX
Detroit Pistons,DET
Toronto Raptors,TOR
Washington Wizards,WAS
Atlanta Hawks,ATL
Chicago Bulls,CHI
San Antonio Spurs,SAS
Cleveland Cavaliers,CLE
Utah Jazz,UTA
Los Angeles Clippers,LAC
New York Knicks,NYK
